State,County,FIPS,PM25,SO2,NOx,VOC,AllZero
AK,Aleutians East Borough,02013,0.0,0.0,0.0,0.0,Y
AK,Aleutians West Census Area,02016,0.0,0.0,0.0,0.0,Y
AK,Bethel Census Area,02050,0.0,0.0,0.0,0.0,Y
AK,Anchorage Municipality,02020,0.0,0.0,0.0,0.0,Y
AK,Bristol Bay Borough,02060,0.0,0.0,0.0,0.0,Y
AK,Chugach Census Area,02063,0.0,0.0,0.0,0.0,Y
AK,Copper River Census Area,02066,0.0,0.0,0.0,0.0,Y
AK,Denali Borough,02068,0.0,0.0,0.0,0.0,Y
AK,Dillingham Census Area,02070,0.0,0.0,0.0,0.0,Y
AK,Fairbanks North Star Borough,02090,0.0,0.0,0.0,0.0,Y
AK,Haines Borough,02100,0.0,0.0,0.0,0.0,Y
AK,Hoonah-Angoon Census Area,02105,0.0,0.0,0.0,0.0,Y
AK,Juneau City and Borough,02110,0.0,0.0,0.0,0.0,Y
AK,Kenai Peninsula Borough,02122,0.0,0.0,0.0,0.0,Y
AK,Ketchikan Gateway Borough,02130,0.0,0.0,0.0,0.0,Y
AK,Kodiak Island Borough,02150,0.0,0.0,0.0,0.0,Y
AK,Kusilvak Census Area,02158,0.0,0.0,0.0,0.0,Y
AK,Lake and Peninsula Borough,02164,0.0,0.0,0.0,0.0,Y
AK,Matanuska-Susitna Borough,02170,0.0,0.0,0.0,0.0,Y
AK,Nome Census Area,02180,0.0,0.0,0.0,0.0,Y
AK,North Slope Borough,02185,0.0,0.0,0.0,0.0,Y
AK,Northwest Arctic Borough,02188,0.0,0.0,0.0,0.0,Y
AK,Petersburg Borough,02195,0.0,0.0,0.0,0.0,Y
AK,Prince of Wales-Hyder Census Area,02198,0.0,0.0,0.0,0.0,Y
AK,Sitka City and Borough,02220,0.0,0.0,0.0,0.0,Y
AK,Skagway Municipality,02230,0.0,0.0,0.0,0.0,Y
AK,Southeast Fairbanks Census Area,02240,0.0,0.0,0.0,0.0,Y
AK,Wrangell City and Borough,02275,0.0,0.0,0.0,0.0,Y
AK,Yakutat City and Borough,02282,0.0,0.0,0.0,0.0,Y
AK,Yukon-Koyukuk Census Area,02290,0.0,0.0,0.0,0.0,Y
AL,Autauga County,01001,0.0,0.0,0.0,0.0,Y
AL,Baldwin County,01003,0.0,0.0,0.0,0.0,Y
AL,Barbour County,01005,0.0,0.0,0.0,0.0,Y
AL,Bibb County,01007,0.0,0.0,0.0,0.0,Y
AL,Blount County,01009,0.0,0.0,0.0,0.0,Y
AL,Bullock County,01011,0.0,0.0,0.0,0.0,Y
AL,Butler County,01013,0.0,0.0,0.0,0.0,Y
AL,Calhoun County,01015,0.0718,0.004,0.63,0.035,N
AL,Chambers County,01017,0.0,0.0,0.0,0.0,Y
AL,Cherokee County,01019,0.0,0.0,0.0,0.0,Y
AL,Chilton County,01021,0.0,0.0,0.0,0.0,Y
AL,Choctaw County,01023,0.0,0.0,0.0,0.0,Y
AL,Clarke County,01025,0.172,0.027,4.512,0.163,N
AL,Clay County,01027,0.0,0.0,0.0,0.0,Y
AL,Cleburne County,01029,0.0,0.0,0.0,0.0,Y
AL,Coffee County,01031,0.604,0.027,6.35,0.127,N
AL,Colbert County,01033,0.0,0.0,0.0,0.0,Y
AL,Conecuh County,01035,0.1248,0.0038,0.6321,0.0348,N
AL,Coosa County,01037,0.0,0.0,0.0,0.0,Y
AL,Covington County,01039,0.0,0.0,0.0,0.0,Y
AL,Crenshaw County,01041,0.0,0.0,0.0,0.0,Y
AL,Cullman County,01043,0.0,0.0,0.0,0.0,Y
AL,Dale County,01045,0.648,0.029,4.87,0.268,N
AL,Dallas County,01047,0.0,0.0,0.0,0.0,Y
AL,DeKalb County,01049,0.0,0.0,0.0,0.0,Y
AL,Elmore County,01051,0.0,0.0,0.0,0.0,Y
AL,Escambia County,01053,0.0,0.0,0.0,0.0,Y
AL,Etowah County,01055,0.0,0.0,0.0,0.0,Y
AL,Fayette County,01057,0.0,0.0,0.0,0.0,Y
AL,Franklin County,01059,0.0,0.0,0.0,0.0,Y
AL,Geneva County,01061,0.0,0.0,0.0,0.0,Y
AL,Greene County,01063,33.400778470000006,0.0,407.746102,17.94636266,N
AL,Hale County,01065,0.0,0.0,0.0,0.0,Y
AL,Henry County,01067,0.0,0.0,0.0,0.0,Y
AL,Houston County,01069,0.0,0.0,0.0,0.0,Y
AL,Jackson County,01071,5.83,0.06,27.13,2.08,N
AL,Jefferson County,01073,0.0108481,0.001,0.153,0.008,N
AL,Lamar County,01075,0.0,0.0,0.0,0.0,Y
AL,Lauderdale County,01077,0.0,0.0,0.0,0.0,Y
AL,Lawrence County,01079,0.0,0.0,0.0,0.0,Y
AL,Lee County,01081,0.0,0.0,0.0,0.09,N
AL,Limestone County,01083,0.0,0.0,0.0,0.0,Y
AL,Lowndes County,01085,0.0,0.0,0.0,0.0,Y
AL,Macon County,01087,0.0,0.0,0.0,0.0,Y
AL,Madison County,01089,1.67,2.83,12.91,0.68,N
AL,Marengo County,01091,0.0,0.0,0.0,0.0,Y
AL,Marion County,01093,0.0,0.0,0.0,0.0,Y
AL,Marshall County,01095,0.0,0.0,0.0,0.0,Y
AL,Mobile County,01097,0.0,0.0,0.0,0.0,Y
AL,Monroe County,01099,0.0,0.0,0.0,0.0,Y
AL,Montgomery County,01101,2.104532,0.08,13.082,0.2,N
AL,Morgan County,01103,0.0,0.0,0.0,0.0,Y
AL,Perry County,01105,0.0,0.0,0.0,0.0,Y
AL,Pickens County,01107,0.0,0.0,0.0,0.0,Y
AL,Pike County,01109,0.0,0.0,0.0,0.0,Y
AL,Randolph County,01111,0.0,0.0,0.0,0.0,Y
AL,Russell County,01113,0.0,0.0,0.0,0.0,Y
AL,Shelby County,01117,50.998915659999994,0.0,705.34926136,28.096624,N
AL,St. Clair County,01115,0.0,0.0,0.0,0.0,Y
AL,Sumter County,01119,0.0,0.0,0.0,0.0,Y
AL,Talladega County,01121,0.182,0.305,55.78,3.03,N
AL,Tallapoosa County,01123,0.0,0.0,0.0,0.0,Y
AL,Tuscaloosa County,01125,0.0,0.0,0.0,0.0,Y
AL,Walker County,01127,0.0,0.0,0.0,0.0,Y
AL,Washington County,01129,0.0,0.15,11.12,0.99,N
AL,Wilcox County,01131,0.0,0.0,0.0,0.0,Y
AL,Winston County,01133,0.0,0.0,0.0,0.0,Y
AR,Arkansas County,05001,0.0,0.0,0.0,0.0,Y
AR,Ashley County,05003,0.0,0.0,0.0,0.0,Y
AR,Baxter County,05005,0.0,0.0,0.0,0.0,Y
AR,Benton County,05007,0.0,0.0,0.0,0.0,Y
AR,Boone County,05009,0.0,0.0,0.0,0.0,Y
AR,Bradley County,05011,0.0,0.0,0.0,0.0,Y
AR,Calhoun County,05013,0.0,0.0,0.0,0.0,Y
AR,Carroll County,05015,0.0,0.0,0.0,0.0,Y
AR,Chicot County,05017,0.0,0.0,0.0,0.0,Y
AR,Clark County,05019,0.0,0.0,0.0,0.0,Y
AR,Clay County,05021,0.0,0.0,0.0,0.0,Y
AR,Cleburne County,05023,0.0,0.0,0.0,0.0,Y
AR,Cleveland County,05025,0.0,0.0,0.0,0.0,Y
AR,Columbia County,05027,0.0,0.0,0.0,0.0,Y
AR,Conway County,05029,0.0,0.0,0.0,0.0,Y
AR,Craighead County,05031,0.0,0.0,0.0,0.0,Y
AR,Crawford County,05033,0.0,0.0,0.0,0.0,Y
AR,Crittenden County,05035,0.0,0.0,0.0,0.0,Y
AR,Cross County,05037,0.0,0.0,0.0,0.0,Y
AR,Dallas County,05039,0.0,0.0,0.0,0.0,Y
AR,Desha County,05041,0.0,0.0,0.0,0.0,Y
AR,Drew County,05043,0.0,0.0,0.0,0.0,Y
AR,Faulkner County,05045,0.0,0.0,0.0,0.0,Y
AR,Franklin County,05047,0.0,0.0,0.0,0.0,Y
AR,Fulton County,05049,0.0,0.0,0.0,0.0,Y
AR,Garland County,05051,0.0,0.0,0.0,0.0,Y
AR,Grant County,05053,0.0,0.0,0.0,0.0,Y
AR,Greene County,05055,0.0,0.0,0.0,0.0,Y
AR,Hempstead County,05057,0.0309305,0.0061861,0.685626,0.0567059,N
AR,Hot Spring County,05059,1.5402991,0.0,49.51875899,1.17249997,N
AR,Howard County,05061,0.0,0.0,0.0,0.0,Y
AR,Independence County,05063,0.0,0.0,0.0,0.0,Y
AR,Izard County,05065,0.0,0.0,0.0,0.0,Y
AR,Jackson County,05067,0.0,0.0,0.0,0.0,Y
AR,Jefferson County,05069,0.0,0.0,0.0,0.0,Y
AR,Johnson County,05071,0.0,0.0,0.0,0.0,Y
AR,Lafayette County,05073,0.0,0.0,0.0,0.0,Y
AR,Lawrence County,05075,0.0,0.0,0.0,0.0,Y
AR,Lee County,05077,0.0,0.0,0.0,0.0,Y
AR,Lincoln County,05079,0.0,0.0,0.0,0.0,Y
AR,Little River County,05081,0.0,0.0,0.0,0.0,Y
AR,Logan County,05083,0.0,0.0,0.0,0.0,Y
AR,Lonoke County,05085,0.0,0.0,0.0,0.0,Y
AR,Madison County,05087,0.0,0.0,0.0,0.0,Y
AR,Marion County,05089,0.0,0.0,0.0,0.0,Y
AR,Miller County,05091,0.0,0.0,0.0,0.0,Y
AR,Mississippi County,05093,0.0,0.0,0.0,0.0,Y
AR,Monroe County,05095,0.0,0.0,0.0,0.0,Y
AR,Montgomery County,05097,0.0,0.0,0.0,0.0,Y
AR,Nevada County,05099,0.0,0.0,0.0,0.0,Y
